============================================================
  Generated by:           Genus(TM) Synthesis Solution 19.11-s087_1
  Generated on:           Feb 09 2023  08:25:14 pm
  Module:                 picorv32
  Technology libraries:   fast_vdd1v0 1.0
                          physical_cells 
  Operating conditions:   PVT_1P1V_0C 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                    Instance                              Module           Cell Count  Cell Area  Net Area   Total Area 
  mux_mem_wordsize_1880_7                        mux_1284                           2     16.024     0.000       16.024 
  mux_mem_wordsize_1855_7                        mux_1284                           2     16.024     0.000       16.024 
  mux_is_alu_reg_imm_921_13                      mux_1513                           1     13.354     0.000       13.354 
  mux_mem_do_rinst_1579_5                        mux_1513                           1     13.354     0.000       13.354 
  sll_419_28                                     shift_left_vlog_unsigned           6     13.354     0.000       13.354 
  g87                                            or_op_128                          3     13.354     0.000       13.354 
  g80                                            or_op_121                          3     12.018     0.000       12.018 
  mux_cpu_state_1765_11                          bmux_1313                          2     10.683     0.000       10.683 
  mux_mem_do_rinst_1481_9                        mux_1382                           1     10.683     0.000       10.683 
  mux_mem_state_566_15                           bmux_1313                          2     10.683     0.000       10.683 
  mux_is_lb_lh_lw_lbu_lhu_900_11                 bmux_1618                          1     10.683     0.000       10.683 
  mux_is_sb_sh_sw_900_11                         bmux_1618                          1     10.683     0.000       10.683 
  mux_is_alu_reg_imm_900_11                      bmux_1618                          1     10.683     0.000       10.683 
  mux_is_alu_reg_reg_900_11                      bmux_1618                          1     10.683     0.000       10.683 
  mux_decoder_trigger_1481_9                     mux_1382                           1     10.683     0.000       10.683 
  mux_cpu_state_1593_13                          bmux_1313                          2     10.683     0.000       10.683 
  mux_617_34                                     bmux_1313                          2     10.683     0.000       10.683 
  mux_mem_state_589_10                           bmux_1313                          2     10.683     0.000       10.683 
  mux_pcpi_int_wr_332_3                          mux_1382                           1     10.683     0.000       10.683 
  mux_1312_33                                    bmux_1313                          2     10.683     0.000       10.683 
  mux_1555_35                                    bmux_1313                          2     10.683     0.000       10.683 
  g165                                           or_op_206                          3     10.683     0.000       10.683 
  g60                                            and_op_104                         4     10.683     0.000       10.683 
  g84                                            or_op_125                          3      9.348     0.000        9.348 
  mux_cpuregs_write_1310_3608                    mux_564                            1      8.012     0.000        8.012 
  mux_decoder_pseudo_trigger_1481_507            mux_1486                           1      8.012     0.000        8.012 
  mux_mem_do_rinst_1762_5                        mux_1486                           1      8.012     0.000        8.012 
  mux_is_beq_bne_blt_bge_bltu_bgeu_921_13        mux_1486                           1      8.012     0.000        8.012 
  mux_instr_jal_921_13                           mux_1486                           1      8.012     0.000        8.012 
  mux_mem_valid_581_10                           bmux_1505                          1      8.012     0.000        8.012 
  g78                                            or_op_119                          2      6.677     0.000        6.677 
  mux_latched_store_1579_3609                    mux_565                            1      5.341     0.000        5.341 
  mux_decoder_pseudo_trigger_1452_7              bmux                               1      5.341     0.000        5.341 
  mux_mem_do_rinst_1951_7                        bmux                               1      5.341     0.000        5.341 
  mux_mem_do_rinst_1944_15                       bmux                               1      5.341     0.000        5.341 
  mux_set_mem_do_rinst_1452_7                    bmux                               1      5.341     0.000        5.341 
  mux_set_mem_do_rinst_1481_504                  mux_1512                           1      5.341     0.000        5.341 
  mux_is_beq_bne_blt_bge_bltu_bgeu_1133_7        bmux                               1      5.341     0.000        5.341 
  mux_is_beq_bne_blt_bge_bltu_bgeu_891_23        bmux                               1      5.341     0.000        5.341 
  mux_is_beq_bne_blt_bge_bltu_bgeu_900_11        mux_1512                           1      5.341     0.000        5.341 
  mux_mem_do_wdata_1955_7                        bmux                               1      5.341     0.000        5.341 
  mux_set_mem_do_wdata_1452_7                    bmux                               1      5.341     0.000        5.341 
  mux_set_mem_do_wdata_1481_500                  mux_1512                           1      5.341     0.000        5.341 
  mux_mem_do_prefetch_1944_15                    bmux                               1      5.341     0.000        5.341 
  mux_instr_jal_891_23                           bmux                               1      5.341     0.000        5.341 
  mux_instr_jal_900_11                           mux_1512                           1      5.341     0.000        5.341 
  mux_prefetched_high_word_639_7                 bmux                               1      5.341     0.000        5.341 
  mux_prefetched_high_word_566_15                bmux                               1      5.341     0.000        5.341 
  mux_mem_la_secondword_566_15                   bmux                               1      5.341     0.000        5.341 
  mux_latched_store_1452_7                       bmux                               1      5.341     0.000        5.341 
  mux_latched_store_1806_9                       bmux                               1      5.341     0.000        5.341 
  mux_pcpi_valid_1452_7                          bmux                               1      5.341     0.000        5.341 
  mux_pcpi_valid_1481_9                          mux_1512                           1      5.341     0.000        5.341 
  mux_pcpi_valid_1765_11                         bmux                               1      5.341     0.000        5.341 
  mux_pcpi_valid_1593_13                         bmux                               1      5.341     0.000        5.341 
  mux_latched_branch_1452_7                      bmux                               1      5.341     0.000        5.341 
  mux_latched_branch_1481_9                      mux_1512                           1      5.341     0.000        5.341 
  mux_latched_branch_1806_9                      bmux                               1      5.341     0.000        5.341 
  mux_compressed_instr_891_23                    bmux                               1      5.341     0.000        5.341 
  mux_latched_is_lb_1452_7                       bmux                               1      5.341     0.000        5.341 
  mux_latched_is_lb_1481_9                       mux_1512                           1      5.341     0.000        5.341 
  mux_latched_is_lh_1452_7                       bmux                               1      5.341     0.000        5.341 
  mux_latched_is_lh_1481_9                       mux_1512                           1      5.341     0.000        5.341 
  mux_latched_is_lu_1452_7                       bmux                               1      5.341     0.000        5.341 
  mux_latched_is_lu_1481_9                       mux_1512                           1      5.341     0.000        5.341 
  mux_mem_do_rdata_1953_7                        bmux                               1      5.341     0.000        5.341 
  mux_set_mem_do_rdata_1452_7                    bmux                               1      5.341     0.000        5.341 
  mux_set_mem_do_rdata_1481_496                  mux_1512                           1      5.341     0.000        5.341 
  mux_set_mem_do_rdata_1877_26                   bmux                               1      5.341     0.000        5.341 
  mux_set_mem_do_rdata_1878_10                   bmux                               1      5.341     0.000        5.341 
  mux_latched_stalu_1452_7                       bmux                               1      5.341     0.000        5.341 
  mux_latched_stalu_1481_9                       mux_1512                           1      5.341     0.000        5.341 
  mux_latched_branch_1552_9                      bmux                               1      5.341     0.000        5.341 
  mux_latched_branch_1562_10                     bmux                               1      5.341     0.000        5.341 
  mux_decoded_rs1_994_13                         bmux                               1      5.341     0.000        5.341 
  mux_instr_lui_891_23                           bmux                               1      5.341     0.000        5.341 
  mux_instr_lui_900_11                           mux_1512                           1      5.341     0.000        5.341 
  mux_instr_lui_921_13                           mux_1512                           1      5.341     0.000        5.341 
  mux_instr_jalr_891_23                          bmux                               1      5.341     0.000        5.341 
  mux_instr_jalr_900_11                          mux_1512                           1      5.341     0.000        5.341 
  mux_instr_jalr_984_13                          mux_1512                           1      5.341     0.000        5.341 
  mux_instr_beq_1133_7                           bmux                               1      5.341     0.000        5.341 
  mux_instr_bne_1133_7                           bmux                               1      5.341     0.000        5.341 
  mux_instr_blt_1133_7                           bmux                               1      5.341     0.000        5.341 
  mux_instr_bge_1133_7                           bmux                               1      5.341     0.000        5.341 
  mux_instr_bltu_1133_7                          bmux                               1      5.341     0.000        5.341 
  mux_instr_bgeu_1133_7                          bmux                               1      5.341     0.000        5.341 
  mux_is_lb_lh_lw_lbu_lhu_891_23                 bmux                               1      5.341     0.000        5.341 
  mux_is_lb_lh_lw_lbu_lhu_984_13                 mux_1512                           1      5.341     0.000        5.341 
  mux_is_lb_lh_lw_lbu_lhu_994_13                 bmux                               1      5.341     0.000        5.341 
